idRevision,coche,fechaHoraInicial,fechaHoraFinal,estado_Bujes de barra delantera,repuestos_Bujes de barra delantera,cantidad_Bujes de barra delantera,estado_Hojas de elásticos delanteros (fisuras),repuestos_Hojas de elásticos delanteros (fisuras),cantidad_Hojas de elásticos delanteros (fisuras),estado_Bieletas de barra delantera (ajuste),repuestos_Bieletas de barra delantera (ajuste),cantidad_Bieletas de barra delantera (ajuste),estado_Bujes de elásticos delanteros (desgaste),repuestos_Bujes de elásticos delanteros (desgaste),cantidad_Bujes de elásticos delanteros (desgaste),"estado_Extr, de barra larga y larga (juego)","repuestos_Extr, de barra larga y larga (juego)","cantidad_Extr, de barra larga y larga (juego)",estado_Crucetas de columna de dirección,repuestos_Crucetas de columna de dirección,cantidad_Crucetas de columna de dirección,estado_Estado de caja derribadora (juego perdidas),repuestos_Estado de caja derribadora (juego perdidas),cantidad_Estado de caja derribadora (juego perdidas),estado_Espesor de cintas de freno Delantero,repuestos_Espesor de cintas de freno Delantero,cantidad_Espesor de cintas de freno Delantero,estado_Indicar la medida actual de la cinta Delantera,repuestos_Indicar la medida actual de la cinta Delantera,cantidad_Indicar la medida actual de la cinta Delantera,estado_Indicar la medida próxima de la cinta Delantera,repuestos_Indicar la medida próxima de la cinta Delantera,cantidad_Indicar la medida próxima de la cinta Delantera,estado_Estado de la campana Delantera Izquierda,repuestos_Estado de la campana Delantera Izquierda,cantidad_Estado de la campana Delantera Izquierda,estado_Estado de la campana Delantera Derecha,repuestos_Estado de la campana Delantera Derecha,cantidad_Estado de la campana Delantera Derecha,estado_Estado de cajas reguladoras delantera izquierda (engrase /sujeción),repuestos_Estado de cajas reguladoras delantera izquierda (engrase /sujeción),cantidad_Estado de cajas reguladoras delantera izquierda (engrase /sujeción),estado_Estado de cajas reguladoras delantera Derecha (engrase/ sujeción),repuestos_Estado de cajas reguladoras delantera Derecha (engrase/ sujeción),cantidad_Estado de cajas reguladoras delantera Derecha (engrase/ sujeción),estado_Pulmón de freno Delantero Izquierdo (perdida),repuestos_Pulmón de freno Delantero Izquierdo (perdida),cantidad_Pulmón de freno Delantero Izquierdo (perdida),estado_Pulmón de freno Delantero Derecho (perdida),repuestos_Pulmón de freno Delantero Derecho (perdida),cantidad_Pulmón de freno Delantero Derecho (perdida),estado_Protector de chapa para cinta de freno Delantero Izquierdo,repuestos_Protector de chapa para cinta de freno Delantero Izquierdo,cantidad_Protector de chapa para cinta de freno Delantero Izquierdo,estado_Protector de chapa para cinta de freno Delantero Derecho,repuestos_Protector de chapa para cinta de freno Delantero Derecho,cantidad_Protector de chapa para cinta de freno Delantero Derecho,estado_Primer tramo estado,repuestos_Primer tramo estado,cantidad_Primer tramo estado,estado_Segundo tramo estado,repuestos_Segundo tramo estado,cantidad_Segundo tramo estado,estado_Tercer tramo estado,repuestos_Tercer tramo estado,cantidad_Tercer tramo estado,estado_Bujes de barra trasera,repuestos_Bujes de barra trasera,cantidad_Bujes de barra trasera,estado_Hojas de elásticos traseros (fisuras),repuestos_Hojas de elásticos traseros (fisuras),cantidad_Hojas de elásticos traseros (fisuras),estado_Bieletas de barra trasera (ajuste),repuestos_Bieletas de barra trasera (ajuste),cantidad_Bieletas de barra trasera (ajuste),estado_Bujes de elásticos traseros (desgaste),repuestos_Bujes de elásticos traseros (desgaste),cantidad_Bujes de elásticos traseros (desgaste),estado_Espesor de cintas de freno trasera,repuestos_Espesor de cintas de freno trasera,cantidad_Espesor de cintas de freno trasera,estado_Indicar la medida actual de la cinta trasera,repuestos_Indicar la medida actual de la cinta trasera,cantidad_Indicar la medida actual de la cinta trasera,estado_Indicar la medida próxima de la cinta trasera,repuestos_Indicar la medida próxima de la cinta trasera,cantidad_Indicar la medida próxima de la cinta trasera,estado_Estado de la campana trasera Izquierda,repuestos_Estado de la campana trasera Izquierda,cantidad_Estado de la campana trasera Izquierda,estado_Estado de la campana trasera Derecha,repuestos_Estado de la campana trasera Derecha,cantidad_Estado de la campana trasera Derecha,estado_Estado de cajas reguladoras trasera Izquierda (engrase/ sujeción),repuestos_Estado de cajas reguladoras trasera Izquierda (engrase/ sujeción),cantidad_Estado de cajas reguladoras trasera Izquierda (engrase/ sujeción),estado_Estado de cajas reguladoras trasera Derecha (engrase/ sujeción),repuestos_Estado de cajas reguladoras trasera Derecha (engrase/ sujeción),cantidad_Estado de cajas reguladoras trasera Derecha (engrase/ sujeción),estado_Pulmón de freno trasero Izquierdo (perdida),repuestos_Pulmón de freno trasero Izquierdo (perdida),cantidad_Pulmón de freno trasero Izquierdo (perdida),estado_Pulmón de freno trasero Derecho (perdida),repuestos_Pulmón de freno trasero Derecho (perdida),cantidad_Pulmón de freno trasero Derecho (perdida),estado_Protector de chapa para cinta de freno trasero Izquierdo,repuestos_Protector de chapa para cinta de freno trasero Izquierdo,cantidad_Protector de chapa para cinta de freno trasero Izquierdo,estado_Protector de chapa para cinta de freno trasero Derecho,repuestos_Protector de chapa para cinta de freno trasero Derecho,cantidad_Protector de chapa para cinta de freno trasero Derecho,estado_Estado del freno de mano,repuestos_Estado del freno de mano,cantidad_Estado del freno de mano,estado_Estanqueidad de líquido hidráulico,repuestos_Estanqueidad de líquido hidráulico,cantidad_Estanqueidad de líquido hidráulico,estado_Estanqueidad de líquido refrigerante,repuestos_Estanqueidad de líquido refrigerante,cantidad_Estanqueidad de líquido refrigerante,estado_Estanqueidad aceite motor,repuestos_Estanqueidad aceite motor,cantidad_Estanqueidad aceite motor,estado_Estanqueidad aceite caja,repuestos_Estanqueidad aceite caja,cantidad_Estanqueidad aceite caja,estado_Estanqueidad aceite diferencial,repuestos_Estanqueidad aceite diferencial,cantidad_Estanqueidad aceite diferencial,"estado_Estanqueidad líquido treno embrague(buses), freno y embrague (Sprinter)","repuestos_Estanqueidad líquido treno embrague(buses), freno y embrague (Sprinter)","cantidad_Estanqueidad líquido treno embrague(buses), freno y embrague (Sprinter)",estado_Estado en general en cuanto a oxidación en laterales,repuestos_Estado en general en cuanto a oxidación en laterales,cantidad_Estado en general en cuanto a oxidación en laterales,estado_Estado general en cuanto a roturas en teleras (estructurales),repuestos_Estado general en cuanto a roturas en teleras (estructurales),cantidad_Estado general en cuanto a roturas en teleras (estructurales),estado_Estados de soportes de sujeción,repuestos_Estados de soportes de sujeción,cantidad_Estados de soportes de sujeción,estado_Mangueras de aire precintadas,repuestos_Mangueras de aire precintadas,cantidad_Mangueras de aire precintadas,estado_Mangueras de combustible,repuestos_Mangueras de combustible,cantidad_Mangueras de combustible,estado_Conexiones de aire en válvulas,repuestos_Conexiones de aire en válvulas,cantidad_Conexiones de aire en válvulas,estado_Conexiones de aire en pulmones,repuestos_Conexiones de aire en pulmones,cantidad_Conexiones de aire en pulmones,estado_Conexiones de cañerías de gasoil en racord's,repuestos_Conexiones de cañerías de gasoil en racord's,cantidad_Conexiones de cañerías de gasoil en racord's,estado_Estado de ramales de cableados,repuestos_Estado de ramales de cableados,cantidad_Estado de ramales de cableados,estado_Estado de grampas sujetadoras de ramales de cableado y mangueras,repuestos_Estado de grampas sujetadoras de ramales de cableado y mangueras,cantidad_Estado de grampas sujetadoras de ramales de cableado y mangueras,estado_Estado de correas (inspección visual),repuestos_Estado de correas (inspección visual),cantidad_Estado de correas (inspección visual),estado_Ruidos en general al poner en marcha,repuestos_Ruidos en general al poner en marcha,cantidad_Ruidos en general al poner en marcha,estado_Niveles de fluidos,repuestos_Niveles de fluidos,cantidad_Niveles de fluidos,estado_Liquido de freno,repuestos_Liquido de freno,cantidad_Liquido de freno,estado_Liquido hidráulico,repuestos_Liquido hidráulico,cantidad_Liquido hidráulico,estado_Aceite motor,repuestos_Aceite motor,cantidad_Aceite motor,estado_Control de luces exteriores,repuestos_Control de luces exteriores,cantidad_Control de luces exteriores,estado_Control luces Interiores,repuestos_Control luces Interiores,cantidad_Control luces Interiores,estado_Control de estado de asientos (visión general),repuestos_Control de estado de asientos (visión general),cantidad_Control de estado de asientos (visión general),estado_Estado de pisos (visión general),repuestos_Estado de pisos (visión general),cantidad_Estado de pisos (visión general),estado_Estado de indicadores por reloj,repuestos_Estado de indicadores por reloj,cantidad_Estado de indicadores por reloj,estado_Estado de indicadores por luz,repuestos_Estado de indicadores por luz,cantidad_Estado de indicadores por luz,estado_Estado de indicadores sonoros,repuestos_Estado de indicadores sonoros,cantidad_Estado de indicadores sonoros,estado_Estado de comandos llave general de luces y botoneras,repuestos_Estado de comandos llave general de luces y botoneras,cantidad_Estado de comandos llave general de luces y botoneras,estado_Función de bocina y limpiaparabrisas,repuestos_Función de bocina y limpiaparabrisas,cantidad_Función de bocina y limpiaparabrisas,estado_Estado de dibujo neumáticos izquierdo delantero,repuestos_Estado de dibujo neumáticos izquierdo delantero,cantidad_Estado de dibujo neumáticos izquierdo delantero,estado_Estado de dibujo neumáticos derecho delantero,repuestos_Estado de dibujo neumáticos derecho delantero,cantidad_Estado de dibujo neumáticos derecho delantero,estado_Estado general neumáticos izquierdo delantero,repuestos_Estado general neumáticos izquierdo delantero,cantidad_Estado general neumáticos izquierdo delantero,estado_Estado general neumáticos derecho delantero,repuestos_Estado general neumáticos derecho delantero,cantidad_Estado general neumáticos derecho delantero,estado_Estado casco externo neumático izquierdo delantero,repuestos_Estado casco externo neumático izquierdo delantero,cantidad_Estado casco externo neumático izquierdo delantero,estado_Estado casco externo neumático derecho delantero,repuestos_Estado casco externo neumático derecho delantero,cantidad_Estado casco externo neumático derecho delantero,estado_Estado de dibujo neumáticos izquierdo trasero,repuestos_Estado de dibujo neumáticos izquierdo trasero,cantidad_Estado de dibujo neumáticos izquierdo trasero,estado_Estado de dibujo neumáticos derecho trasero,repuestos_Estado de dibujo neumáticos derecho trasero,cantidad_Estado de dibujo neumáticos derecho trasero,estado_Estado general neumáticos izquierdo trasero,repuestos_Estado general neumáticos izquierdo trasero,cantidad_Estado general neumáticos izquierdo trasero,estado_Estado general neumáticos derecho trasero,repuestos_Estado general neumáticos derecho trasero,cantidad_Estado general neumáticos derecho trasero,estado_Estado casco externo neumático izquierdo trasero,repuestos_Estado casco externo neumático izquierdo trasero,cantidad_Estado casco externo neumático izquierdo trasero,estado_Estado casco externo neumático derecho trasero,repuestos_Estado casco externo neumático derecho trasero,cantidad_Estado casco externo neumático derecho trasero,estado_Estado de la batería,repuestos_Estado de la batería,cantidad_Estado de la batería,estado_Estado de los bornes,repuestos_Estado de los bornes,cantidad_Estado de los bornes,estado_¿El coche tiene cortacorriente?,repuestos_¿El coche tiene cortacorriente?,cantidad_¿El coche tiene cortacorriente?,estado_Estado del arranque,repuestos_Estado del arranque,cantidad_Estado del arranque,estado_Estado del alternador,repuestos_Estado del alternador,cantidad_Estado del alternador,estado_Estado de correas,repuestos_Estado de correas,cantidad_Estado de correas,estado_Estado del filtro de aire,repuestos_Estado del filtro de aire,cantidad_Estado del filtro de aire,estado_Engrase en puntos de lubricación,repuestos_Engrase en puntos de lubricación,cantidad_Engrase en puntos de lubricación,estado_Control de limpia parabrisas,repuestos_Control de limpia parabrisas,cantidad_Control de limpia parabrisas
0,24,2023-12-29 21:17:25,2023-12-29 21:17:49,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0
1,24,2023-12-29 21:34:49,2023-12-29 21:34:52,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0
2,24,2023-12-29 21:35:55,2023-12-29 21:35:58,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0,Bueno,,0.0
